Questions,Count,Label
can you tell me about that,169,#follow_up
why,168,#follow_up
yeah,167,#ack
where are you from originally,127,#non_int
have you ever been diagnosed with p_t_s_d,125,#int
goodbye,123,#ack
what are some things you really like about l_a,122,#non_int
how are you at controlling your temper,121,#int
when was the last time you argued with someone and what was it about,119,#int
is there anything you regret,116,#int
so how are you doing today,114,#non_int
how easy is it for you to get a good night's sleep,114,#int
what are you most proud of in your life,112,#int
what are some things you don't really like about l_a,112,#non_int
have you been diagnosed with depression,109,#int
thanks for sharing your thoughts with me,102,#ack
how would your best friend describe you,100,#int
how have you been feeling lately,99,#int
what's your dream job,90,#int
tell me about the last time you felt really happy,88,#int
who's someone that's been a positive influence in your life,88,#int
what are you like when you don't sleep well,87,#int
sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,86,#int
what advice would you give to yourself ten or twenty years ago,85,#int
uh huh,84,#ack
have you noticed any changes in your behavior or thoughts lately,83,#int
what's one of your most memorable experiences,83,#int
do you consider yourself more shy or outgoing,83,#int
how did you feel in that moment,81,#follow_up
what did you study at school,79,#non_int
how hard is that,79,#follow_up
tell me about the hardest decision you've ever had to make,78,#int
what do you enjoy about traveling,78,#non_int
i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot,77,#non_int
tell me about a situation that you wish you had handled differently,76,#int
i'd love to hear about one of your trips,75,#follow_up
how did you decide to do that,71,#follow_up
what would you say are some of your best qualities,67,#int
what are some things you wish you could change about yourself,67,#int
tell me about an event or something that you wish you could erase from your memory,65,#int
that's good,65,#ack
that's great,64,#ack
what made you decide to do that,64,#follow_up
tell me about your relationship with your family,63,#int
that sounds really hard,57,#ack
like what,57,#follow_up
wow,55,#ack
can you give me an example of that,54,#follow_up
what's something you feel guilty about,54,#int
tell me about something you did recently that you really enjoyed,53,#int
how easy was it for you to get used to living in l_a,52,#non_int
laughter),50,#ack
are you still working in that,49,#follow_up
i see what you mean,49,#ack
okay i think i have asked everything i need to,49,#ack
tell me more about that,48,#follow_up
do you still go to therapy now,45,#follow_up
when was the last time that happened,44,#follow_up
how often do you go back to your hometown,44,#non_int
do you travel a lot,44,#non_int
when did you move to l_a,43,#non_int
how long ago were you diagnosed,43,#follow_up
how does it compare to l_a,43,#non_int
yes,42,#ack
what got you to seek help,41,#follow_up
what are some things that make you really mad,41,#int
that sucks,41,#ack
whatever comes to your mind,41,#follow_up
tell me how you spend your ideal weekend,39,#non_int
how do you cope with them,38,#follow_up
are you okay with this,37,#follow_up
that's so good to hear,36,#ack
are you happy you did that,35,#follow_up
when was the last time you felt really happy,34,#int
aw,34,#ack
what advice would you give yourself ten or twenty years ago,33,#int
do you consider yourself an introvert,33,#int
are they triggered by something,33,#follow_up
why did you move to l_a,32,#non_int
what are some things that usually put you in a good mood,32,#int
how close are you to your family,31,#int
tell me about a time when someone made you feel really badly about yourself,31,#int
what do you do now,31,#follow_up
do you find it easy to be a parent,31,#int
how would your best friend describe you,30,#int
has that gotten you in trouble,30,#follow_up
mm,30,#ack
what do you do to relax,30,#int
could you have done anything to avoid it,30,#follow_up
why'd you move to l_a,30,#non_int
what's the hardest thing about being a parent,30,#int
okay i think i've asked everything i need to,30,#ack
do you feel like therapy is useful,29,#int
who's someone that's been a positive influence in your life,29,#int
how have you been feeling lately,28,#int
yeah,28,#ack
what'd you study at school,27,#non_int
have you ever served in the military,27,#non_int
have you ever served in the military,27,#non_int
what do you think of today's kids,27,#non_int
what advice would you give yourself ten or twenty years ago,27,#int
what are you most proud of in your life,26,#int
thanks for sharing your thoughts with me,26,#ack
what do you do when you're annoyed,26,#int
what's the best thing about being a parent,26,#int
what'd you study at school,25,#non_int
that sounds like a great situation,25,#ack
i'm sorry,25,#ack
how do you know them,25,#follow_up
when was the last time you felt really happy,24,#int
i'm sorry to hear that,24,#ack
have you noticed any changes in your behavior or thoughts lately,24,#int
