video,question,starttime,endtime,formant1,formant2,formant3,formant4,formant5
393,is there anything you regret,479.224,481.56,585.7728205,1730.746838,2647.078632,3562.465812,4397.565385
393,how have you been feeling lately,403.424,412.84,692.4467081,1675.732824,2550.995807,3446.174522,4360.462314
393,have you ever been diagnosed with p_t_s_d,420.576,424.05,519.7410057,1595.246466,2474.912356,3469.531322,4373.008621
393,how close are you to your family,269.758,274.5,556.2306947,1570.523832,2454.912779,3409.226526,4322.477263
393,have you been diagnosed with depression,424.996,428.17,524.0460692,1589.714025,2532.712579,3523.683019,4447.246226
393,tell me about your relationship with your family,251.623,268.054,583.9299343,1584.231649,2488.292733,3378.096409,4339.961899
392,what are you most proud of in your life,570.427,598.511,649.3945709,1607.11398,2520.205646,3451.556889,4363.986792
392,have you been diagnosed with depression,407.165,409.58,531.3715496,1578.831157,2460.972314,3427.156198,4386.241736
392,have you ever been diagnosed with p_t_s_d,403.665,406.41,506.4738182,1597.254982,2499.325455,3405.806182,4367.714182
392,what's something you feel guilty about,214.981,226.851,592.2568121,1577.416327,2498.693463,3430.49385,4352.445577
392,is there anything you regret,454.385,464.87,641.6520305,1633.736416,2544.762917,3569.938608,4427.958437
392,how have you been feeling lately,384.174,395.09,596.787435,1612.801603,2541.668443,3468.871978,4396.172527
392,tell me about your relationship with your family,228.798,249.284,587.8739234,1563.681811,2475.866423,3465.443533,4389.889214
391,tell me about your relationship with your family,575.072,580.44,544.9718901,1527.635661,2381.637058,3334.416015,4271.060335
391,what's one of your most memorable experiences,185.602,200.45,522.9280727,1583.222788,2533.05837,3441.049495,4325.794276
391,have you been diagnosed with depression,432.226,435.39,513.7972744,1476.894006,2432.193943,3376.7347,4334.329338
391,what are you most proud of in your life,558.331,570.86,654.9590862,1599.039832,2499.162817,3421.251317,4291.400878
391,how have you been feeling lately,405.063,420.044,603.348779,1588.830027,2494.307757,3424.800935,4348.570828
391,is there anything you regret,501.416,507.92,710.4688479,1679.71702,2577.212596,3486.004455,4363.243318
390,is there anything you regret,1149.832,1167.65,609.5561897,1551.478401,2425.783165,3448.43743,4390.004658
390,how have you been feeling lately,787.702,847.056,589.8925345,1517.647436,2431.80413,3430.917237,4356.457607
390,have you been diagnosed with depression,852.572,995.38,590.4860123,1535.600338,2434.303713,3419.808158,4351.514565
390,have you ever been diagnosed with p_t_s_d,849.068,852.23,517.6378076,1561.419842,2500.451041,3420.346372,4348.06877
390,tell me about your relationship with your family,411.679,463.12,560.3424124,1513.865114,2367.127605,3406.997143,4302.243382
397,have you been diagnosed with depression,638.039,640.8,484.1711957,1513.951268,2459.419565,3410.071739,4399.208333
397,what's something you feel guilty about,407.947,435.07,573.7419694,1505.995566,2405.297494,3360.86631,4295.748028
397,what's one of your most memorable experiences,120.347,134.72,609.3111127,1559.658783,2427.540494,3362.385389,4242.250834
397,how have you been feeling lately,585.967,619.475,577.5477825,1530.17681,2423.19766,3359.461235,4243.719845
397,tell me about your relationship with your family,349.061,374.371,547.5597268,1510.02158,2402.607507,3326.577795,4310.363611
397,is there anything you regret,674.183,719.579,594.2442254,1500.445966,2419.463032,3374.379445,4345.165962
397,have you ever been diagnosed with p_t_s_d,632.818,637.33,520.8742146,1408.343894,2344.815022,3345.631858,4332.748451
396,what's one of your most memorable experiences,211.619,233.22,603.1016242,1610.939968,2553.113697,3489.225544,4443.099537
396,how have you been feeling lately,496.083,514.304,604.0414934,1600.989918,2541.539791,3488.371076,4426.138364
396,is there anything you regret,579.588,583.7,644.1013107,1694.152379,2614.423786,3553.279369,4443.062864
396,how close are you to your family,445.425,451.14,640.3207343,1641.157063,2571.679371,3486.695629,4344.694056
396,what's something you feel guilty about,397.831,427.79,600.1634446,1630.517573,2560.455574,3473.282009,4400.949733
396,have you been diagnosed with depression,533.843,536.37,491.1230435,1638.152134,2576.401739,3543.371937,4393.858893
396,have you ever been diagnosed with p_t_s_d,530.511,533.1,506.3600386,1752.646911,2642.649421,3503.602317,4377.646718
396,what are you most proud of in your life,704.683,734.037,614.8698477,1617.410382,2557.360085,3471.841704,4441.479557
396,tell me about your relationship with your family,430.619,444.53,617.2931034,1592.530093,2563.313362,3487.180819,4393.980675
395,how have you been feeling lately,379.916,394.82,583.7041066,1562.645392,2486.548538,3443.497451,4402.76841
395,what's something you feel guilty about,291.443,342.47,561.9348671,1601.706157,2572.295642,3516.606565,4419.157692
