video,gender
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,0
343,1
344,1
345,0
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,0
393,1
395,0
396,1
397,1
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,1
458,0
459,1
461,1
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,0
489,1
490,1
491,0
492,0
600,0
601,1
602,0
603,1
604,1
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,1
619,0
620,1
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,1
644,0
645,0
646,0
647,1
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
