video,question,starttime,endtime,formant1,formant2,formant3,formant4,formant5
393,who's someone that's been a positive influence in your life,276.643,301.309,446.8897498,1196.50618,1870.846269,2582.765085,3263.918897
393,what advice would you give to yourself ten or twenty years ago,482.993,493.86,570.2363293,1617.105731,2529.972309,3436.34195,4346.345998
393,tell me about an event or something that you wish you could erase from your memory,303.349,318.82,565.1748488,1586.871169,2479.872487,3392.091408,4298.931395
393,tell me about the hardest decision you've ever had to make,319.836,380.308,616.5335424,1616.620516,2488.961139,3429.160427,4358.570316
393,tell me about a situation that you wish you had handled differently,231.283,249.982,570.4877781,1595.586144,2481.892481,3435.481016,4343.012781
393,do you consider yourself more shy or outgoing,136.772,162.6,548.5165006,1559.352954,2461.347619,3443.826132,4337.73554
393,when was the last time you argued with someone and what was it about,193.537,226.69,534.9580817,1528.681677,2429.452449,3420.249427,4378.877563
393,sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,164.545,184.32,588.0595056,1597.682892,2518.787765,3447.683013,4343.422801
393,how are you at controlling your temper,185.507,192.592,588.1969394,1645.280691,2528.40268,3447.53385,4354.762341
393,have you noticed any changes in your behavior or thoughts lately,413.377,417.88,514.9272705,1667.557007,2593.304435,3520.516186,4362.618182
393,what are you like when you don't sleep well,391.999,402.44,591.1375919,1598.260287,2466.63378,3464.813014,4349.310239
393,how would your best friend describe you,459.467,474.72,599.9612451,1649.905642,2489.064089,3455.601835,4378.488204
393,what would you say are some of your best qualities,539.787,556.699,633.73912,1634.05317,2529.292431,3483.167061,4361.216203
393,what are some things you wish you could change about yourself,496.736,506.64,517.4698406,1547.233108,2421.356206,3424.704642,4307.910091
393,tell me about the last time you felt really happy,429.218,457.155,646.3075855,1641.363751,2526.659821,3445.502756,4364.078382
393,what's your dream job,119.014,131.57,524.0070303,1583.036768,2465.643678,3402.689172,4328.389092
393,how easy is it for you to get a good night's sleep,381.523,390.947,526.0080393,1606.026136,2462.684915,3447.679618,4378.896815
392,what are some things you wish you could change about yourself,487.224,527.468,635.9320502,1599.378201,2513.757008,3486.944657,4389.128703
392,have you noticed any changes in your behavior or thoughts lately,396.308,401.78,521.0064197,1622.29062,2555.985785,3503.875912,4394.812774
392,when was the last time you argued with someone and what was it about,198.244,211.92,601.9793063,1530.842982,2492.857091,3415.986842,4335.227558
392,how easy is it for you to get a good night's sleep,359.34,371.54,565.3135053,1587.773923,2491.927912,3474.455201,4386.721949
392,tell me about an event or something that you wish you could erase from your memory,271.922,294.599,582.8393441,1615.419127,2520.296427,3456.761403,4343.991487
392,what are you like when you don't sleep well,373.534,382.996,631.6239249,1597.99574,2501.483478,3464.011416,4365.151903
392,who's someone that's been a positive influence in your life,335.988,357.58,601.1881435,1601.842412,2511.844282,3477.820139,4374.097454
392,what's your dream job,96.634,120.11,594.3531188,1564.449732,2495.471188,3476.538629,4366.675298
392,do you consider yourself more shy or outgoing,147.126,159.694,559.7009706,1562.226937,2466.033015,3501.604614,4425.344471
392,tell me about the hardest decision you've ever had to make,297.236,334.134,602.5585122,1644.365837,2551.275721,3498.686043,4368.184959
392,how would your best friend describe you,429.372,438.23,602.2047641,1557.086388,2536.857923,3467.729571,4378.993905
392,what would you say are some of your best qualities,555.8,566.31,601.4229391,1608.158963,2551.511475,3509.701903,4394.809895
392,tell me about the last time you felt really happy,411.581,427.173,617.3050321,1606.678557,2526.538005,3499.445093,4382.891084
392,tell me about a situation that you wish you had handled differently,251.19,269.968,606.9323339,1579.375985,2499.113466,3421.905591,4352.203781
392,sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,161.48,183.08,568.3788616,1566.425794,2494.756317,3409.981999,4317.322536
392,how are you at controlling your temper,184.679,197.403,642.9133936,1644.053574,2551.029065,3495.161037,4353.144462
392,what advice would you give to yourself ten or twenty years ago,466.603,484.01,606.3921608,1599.549115,2543.180299,3501.288627,4396.044285
391,what advice would you give to yourself ten or twenty years ago,509.624,530.093,646.9448901,1657.008442,2561.059209,3499.204446,4379.522716
