Face Width,Face Height,x8,X7,X55,X54,Z10,x62,x65,Z56,x3,Z9,isMaleEvidence,X5,Z65,x59,Z52,X10,X4,Z26,
MCEP_6,F0,MCEP_8,HMPDM_9,MCEP_7,MCEP_3,HMPDM_10,MCEP_2,HMPDM_12,formant2,formant1,formant5,formant3,formant4,HMPDM_22,HMPDM_23,HMPDM_11,MCEP_0,HMPDM_17,HMPDM_20,
word43,word51,word52,word1,word57,word53,word44,word94,word21,word89,word50,word17,word82,word49,word9,word76,word83,word77,word88,word12,
Face Width,Face Height,Z10,Z64,Z54,Face X,hasGlassesEvidence,Z11,Z63,Z6,isMaleEvidence,AU43Evidence,Z13,x4,x1,x5,x0,Z46,Z22,Z14,
MCEP_11,F0,MCEP_13,HMPDM_9,MCEP_8,MCEP_5,MCEP_6,HMPDM_10,MCEP_2,formant5,formant1,QOQ,H1H2,MCEP_0,HMPDM_24,HMPDM_7,HMPDM_11,MCEP_1,formant4,HMPDM_12,
word76,word87,word18,word33,word0,word3,word86,word53,word35,word41,word7,word39,word49,word77,word44,word62,word92,word4,word36,word51,
Face Width,Face Height,isMaleEvidence,Z54,Z64,Z56,x5,X53,x4,Z12,X54,x3,x2,X35,hasGlassesEvidence,X8,x53,x67,Z13,x64,
MCEP_11,MCEP_8,F0,HMPDM_9,MCEP_6,MCEP_5,MCEP_13,MCEP_2,HMPDM_10,formant5,formant1,HMPDM_11,H1H2,MCEP_1,QOQ,HMPDM_24,formant4,PSP,HMPDM_23,HMPDM_12,
word35,word41,word86,word15,word76,word46,word3,word50,word38,word53,word33,word60,word87,word12,word14,word65,word67,word92,word98,word82,
Face Width,Face Height,Z8,Z56,Z7,Z10,Z57,Z48,Z6,Z50,Z12,Z5,Z13,x6,hasGlassesEvidence,Z47,Z45,Z26,Z43,Z25,
MCEP_11,MCEP_5,F0,MCEP_13,MCEP_8,MCEP_3,HMPDM_24,MCEP_6,HMPDM_10,HMPDM_9,formant1,H1H2,formant2,MCEP_1,MCEP_2,formant5,HMPDM_23,formant4,HMPDM_22,formant3,
word76,word43,word49,word29,word87,word51,word27,word36,word37,word93,word82,word33,coherence,word89,word73,word17,word91,word97,word52,word0,
