147,tell me about the last time you felt really happy,88,when was the last time you felt really happy,34,when was the last time you felt really happy,24,when was the last time you felt really happy,1,,
146,when was the last time you argued with someone and what was it about,119,when was the last time you argued with someone and what was it about,23,when was the last time you argued with someone and what was it about,1,when was the last time you argued with someone and what was it about,3,,
146,what advice would you give to yourself ten or twenty years ago,85,what advice would you give yourself ten or twenty years ago,33,what advice would you give yourself ten or twenty years ago,27,what advice would you give yourself ten or twenty years ago,1,,
141,how are you at controlling your temper,121,how are you at controlling your temper,20,,,,,,
138,how easy is it for you to get a good night's sleep,114,how easy is it for you to get a good night's sleep,1,how easy is it for you to get a good night sleep,1,how easy is it for you to get a good night's sleep,22,,
138,what are you most proud of in your life,112,what are you most proud of in your life,26,,,,,,
131,have you ever been diagnosed with p_t_s_d,125,have you ever been diagnosed with p_t_s_d,6,,,,,,
131,how would your best friend describe you,100,how would you best friend describe you,1,how would your best friend describe you,30,,,,
130,have you been diagnosed with depression,109,have you been diagnosed with depression,21,,,,,,
129,is there anything you regret,116,uh huh uh huh uh huh is there anything you regret is there anything you regret,1,is there anything you regret,12,,,,
129,sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,86,what do you do to relax,30,what do you do to relax,1,what do you do to relax,12,,
127,how have you been feeling lately,99,how have you been feeling lately,28,,,,,,
124,what's your dream job,90,i love my job you could almost say it's virtually made for me what's your dream job,12,what's your dream job,22,,,,
120,who's someone that's been a positive influence in your life,88,who's someone that's been a positive influence in your life,29,who's someone that's been a positive influence in  your life,1,who's someone that's been a positive influence in your life,1,what are some things you like to do for fun who's someone that's been a positive influence in your life,1
107,have you noticed any changes in your behavior or thoughts lately,83,have you noticed any changes in your behavior or thoughts lately,24,,,,,,
105,what are you like when you don't sleep well,87,what are you like when you don't sleep well,18,,,,,,
104,what's one of your most memorable experiences,83,what's one of your most memorable experiences,21,,,,,,
91,what would you say are some of your best qualities,67,what would you say are some of your best qualities,24,,,,,,
83,do you consider yourself more shy or outgoing,83,,,,,,,,
78,tell me about the hardest decision you've ever had to make,78,,,,,,,,
76,tell me about a situation that you wish you had handled differently,76,,,,,,,,
73,tell me about something you did recently that you really enjoyed,53,tell me about something you did recently that you really enjoyed,20,,,,,,
67,what are some things you wish you could change about yourself,67,,,,,,,,
65,tell me about an event or something that you wish you could erase from your memory,65,,,,,,,,
63,tell me about your relationship with your family,63,,,,,,,,
59,what are some things that make you really mad,41,what are some things that make you really mad,1,what are some things that make you really mad,17,,,,
54,what's something you feel guilty about,54,,,,,,,,
54,do you consider yourself an introvert,33,do you consider yourself and introvert,1,do you consider yourself an introvert,2,do you consider yourself an introvert,18,,
52,how close are you to your family,31,how close are you to your family,21,,,,,,
