Feature,P-value,F-value
frame,0.00011265244498813388,14.968558941249311
timestamp,0.00011265253774454502,14.968557376444577
confidence,0.00012236848411806099,14.811384037887594
success,0.5613833702618638,0.3374221841687991
x0,4.3667452594507579e-06,21.208223667627173
x1,3.354080767489649e-06,21.71933412628108
x2,2.5214882821601599e-06,22.272724584999587
x3,2.1391115163526798e-06,22.591989683446574
x4,1.7903284727727507e-06,22.937766924358009
x5,1.6713024969988646e-06,23.071480087667464
x6,2.4652130663323256e-06,22.316529176121335
x7,3.0269658956833418e-06,21.918281314199934
x8,7.0798296493902711e-06,20.273678143330407
x9,3.031449673344479e-05,17.474514981671771
x10,0.00021133845661843289,13.77578967313757
x11,0.0013209701637189358,10.340849225174397
x12,0.0041888793863417741,8.2180765821648603
x13,0.0074874107891617619,7.166066522786827
x14,0.0094306471460339387,6.7518446190008135
x15,0.011054067999246452,6.4680930759155295
x16,0.01447568761376542,5.9891424306264769
x17,3.2756777416306659e-06,21.76518319547251
x18,4.0154973399633032e-06,21.370606587192189
x19,5.5059578624004671e-06,20.759650917238925
x20,7.613590363146021e-06,20.133291010923088
x21,9.4902508558176254e-06,19.708035916950028
x22,9.7626619832759165e-05,15.240765679025033
x23,0.00021597017506689664,13.734797213021395
x24,0.00046729848014606245,12.280553729484788
x25,0.00088028591675068076,11.095693815052922
x26,0.0015672288384154978,10.024105742300659
x27,2.554153101072997e-05,17.803100825630676
x28,1.5314720587140558e-05,18.786009934541049
x29,9.1048595499397877e-06,19.788015892289955
x30,5.3559176814980968e-06,20.813089476629813
x31,7.1316700533503823e-06,20.259584916432807
x32,7.2778503806815314e-06,20.220392152554123
x33,7.65100971980252e-06,20.123823327532442
x34,9.7159089813351302e-06,19.662706856789498
x35,1.355466459708092e-05,19.021014372678831
x36,5.4948846338088827e-06,20.763544481495064
x37,7.9966450858467286e-06,20.038509321161527
x38,1.1082340764255846e-05,19.408980425510315
x39,1.3845141969275761e-05,18.980187700754382
x40,9.5537281441554815e-06,19.69517634073717
