Feature		P-value		F-value
F0		5.60999670684e-20		85.4665060832
VUV		0.554323338614		0.349741270577
NAQ		0.940543264405		0.00556456395933
QOQ		0.630697447375		0.231183979305
H1H2		2.96897220706e-17		72.6101605865
PSP		1.52725656825e-08		32.2716258751
MDQ		0.000814366159692		11.2408782258
peakSlope		8.11641314479e-09		33.5198881042
Rd		4.2480490027e-06		21.2615814627
Rd_conf		0.0634033391079		3.44969866323
creak		nan		nan
MCEP_0		0.260453635238		1.26702841666
MCEP_1		0.223616938886		1.4818836927
MCEP_2		3.28839341181e-05		17.3185885381
MCEP_3		1.44186500274e-05		18.9020498353
MCEP_4		0.000104276778736		15.1154272904
MCEP_5		9.88468928831e-13		51.5009476901
MCEP_6		4.85679032995e-11		43.6931021508
MCEP_7		0.0360801565365		4.39896441647
MCEP_8		1.36696096068e-06		23.462381615
MCEP_9		1.72270216921e-05		18.5596556758
MCEP_10		0.466495628084		0.530458057579
MCEP_11		3.69863638873e-63		301.233407793
MCEP_12		6.41593474707e-08		29.445204298
MCEP_13		4.32955316696e-07		25.7038256517
MCEP_14		4.93182902262e-05		16.5429405413
MCEP_15		0.162719921118		1.95013593228
MCEP_16		0.202616955588		1.62442554506
MCEP_17		0.926263708273		0.00856694616463
MCEP_18		2.70564939651e-09		35.6936356847
MCEP_19		0.646699276335		0.210147529758
MCEP_20		6.8294755336e-07		24.8141270409
MCEP_21		0.902337121717		0.0150612703619
MCEP_22		0.0163092264251		5.77854304268
MCEP_23		0.00221712528514		9.38364561524
MCEP_24		0.730891791438		0.118325906057
HMPDM_0		nan		nan
HMPDM_1		nan		nan
HMPDM_2		nan		nan
HMPDM_3		nan		nan
HMPDM_4		0.0033552301378		8.62319359742
HMPDM_5		0.00206893734834		9.51110176654
HMPDM_6		0.823821027326		0.0495779229832
HMPDM_7		0.000194393437812		13.9338903939
HMPDM_8		2.07532547886e-10		40.7956038839
HMPDM_9		1.26431822792e-18		79.0678637695
HMPDM_10		8.10497478491e-19		79.97966756
HMPDM_11		0.0697614261554		3.29198863864
HMPDM_12		1.46426248451e-06		23.3286292641
HMPDM_13		0.000131873950052		14.6693400916
HMPDM_14		0.863915371418		0.0293825006063
HMPDM_15		0.0327593640186		4.56435518937
HMPDM_16		0.0995740729284		2.71475349097
HMPDM_17		0.64733058427		0.209342534113
HMPDM_18		0.365113599041		0.820583633313
HMPDM_19		0.1095471733		2.56291621398
HMPDM_20		0.272560510328		1.20444753423
HMPDM_21		0.127212524347		2.32803971936
HMPDM_22		0.766112080362		0.0885079508326
HMPDM_23		1.89142565262e-09		36.403256358
HMPDM_24		0.0178785658547		5.61685081872
 HMPDD_0		6.58719293086e-09		33.9325330513
HMPDD_1		2.23100415853e-13		54.4986547182
HMPDD_2		4.04955629844e-15		62.6062600926
HMPDD_3		1.37347643988e-14		60.1312468876
HMPDD_4		2.25788173913e-12		49.8405590373
HMPDD_5		3.33899025732e-17		72.3703585427
HMPDD_6		0.0331795254117		4.54248336531
HMPDD_7		0.00690242849442		7.31263911785
HMPDD_8		3.72013522265e-13		53.4681496948
HMPDD_9		8.70566723135e-18		75.1171468524
HMPDD_10		2.79522860413e-14		58.6932945555
HMPDD_11		1.09242315387e-17		74.6529607551
HMPDD_12		1.02190510472e-15		65.4017729355
