0.5 0.5,3,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.7710843373
0.5 0.5,3,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8641975309
0.5 0.5,3,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8536585366
0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 31.622776601683793},0.4,0.7474747475
0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1000.0},0.4,0.7474747475
0.6 0.4,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 31.622776601683793},0.4,0.7115384615
0.6 0.4,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1000.0},0.4,0.7115384615
0.4 0.6,3,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.756097561
0.4 0.6,3,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8333333333
0.4 0.6,3,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8780487805
0.4 0.6,3,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8780487805
0.4 0.6,3,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8780487805
0.4 0.6,3,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.4,0.8780487805
0.4 0.6,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 31.622776601683793},0.4,0.7628865979
0.4 0.6,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 31.622776601683793},0.4,0.7628865979
0.4 0.6,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 1000.0},0.4,0.7628865979
0.4 0.6,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1000.0},0.4,0.7628865979
