0,1,2,3,4
0.3 0.7,"{'max_features': 18, 'max_depth': 3, 'min_samples_leaf': 5}","{'max_features': 3, 'max_depth': 4, 'min_samples_leaf': 3}",5,0.75
0.7 0.3,"{'max_features': 8, 'max_depth': 5, 'min_samples_leaf': 3}","{'max_features': 13, 'max_depth': 3, 'min_samples_leaf': 5}",3,0.75
0.7 0.3,"{'max_features': 13, 'max_depth': 5, 'min_samples_leaf': 4}","{'max_features': 8, 'max_depth': 4, 'min_samples_leaf': 2}",4,0.75
0.7 0.3,"{'max_features': 3, 'max_depth': 5, 'min_samples_leaf': 4}","{'max_features': 8, 'max_depth': 5, 'min_samples_leaf': 3}",3,0.727272727273
0.3 0.7,"{'max_features': 3, 'max_depth': 5, 'min_samples_leaf': 2}","{'max_features': 8, 'max_depth': 4, 'min_samples_leaf': 2}",3,0.727272727273
0.7 0.3,"{'max_features': 3, 'max_depth': 5, 'min_samples_leaf': 4}","{'max_features': 3, 'max_depth': 4, 'min_samples_leaf': 4}",3,0.714285714286
0.5 0.5,"{'max_features': 13, 'max_depth': 5, 'min_samples_leaf': 2}","{'max_features': 18, 'max_depth': 4, 'min_samples_leaf': 4}",4,0.705882352941
0.3 0.7,"{'max_features': 13, 'max_depth': 5, 'min_samples_leaf': 5}","{'max_features': 3, 'max_depth': 4, 'min_samples_leaf': 2}",4,0.666666666667
0.7 0.3,"{'max_features': 3, 'max_depth': 4, 'min_samples_leaf': 2}","{'max_features': 18, 'max_depth': 4, 'min_samples_leaf': 3}",5,0.666666666667
0.3 0.7,"{'max_features': 3, 'max_depth': 5, 'min_samples_leaf': 2}","{'max_features': 8, 'max_depth': 5, 'min_samples_leaf': 4}",5,0.666666666667
0.7 0.3,"{'max_features': 3, 'max_depth': 4, 'min_samples_leaf': 3}","{'max_features': 13, 'max_depth': 5, 'min_samples_leaf': 5}",3,0.727272727273
0.5 0.5,"{'max_features': 8, 'max_depth': 4, 'min_samples_leaf': 2}","{'max_features': 8, 'max_depth': 4, 'min_samples_leaf': 4}",3,0.714285714286
0.3 0.7,"{'max_features': 8, 'max_depth': 4, 'min_samples_leaf': 5}","{'max_features': 3, 'max_depth': 4, 'min_samples_leaf': 2}",3,0.714285714286
0.3 0.7,"{'max_features': 8, 'max_depth': 5, 'min_samples_leaf': 4}","{'max_features': 3, 'max_depth': 3, 'min_samples_leaf': 2}",5,0.705882352941
0.5 0.5,"{'max_features': 8, 'max_depth': 5, 'min_samples_leaf': 2}","{'max_features': 8, 'max_depth': 5, 'min_samples_leaf': 2}",4,0.705882352941
