0,1,2,3,4,5,6
0.7 0.3,5,0.001,0.001,l1,l1,0.35
0.5 0.5,5,0.001,0.001,l1,l1,0.35
0.5 0.5,5,0.001,0.001,l2,l1,0.307692307692
0.7 0.3,5,0.001,0.001,l2,l2,0.307692307692
0.7 0.3,5,0.001,0.001,l2,l1,0.296296296296
0.5 0.5,4,0.001,1000.0,l1,l2,0.6666666667
0.7 0.3,5,0.001,1000.0,l1,l2,0.6666666667
0.3 0.7,4,0.001,1000.0,l1,l2,0.6666666667
0.3 0.7,4,0.0316227766,1000.0,l1,l2,0.6666666667
0.5 0.5,4,0.001,1000.0,l2,l2,0.6666666667
0.3 0.7,5,0.0316227766,1.0,l2,l2,0.6315789474
0.3 0.7,5,31.6227766017,0.0316227766,l1,l2,0.625
0.3 0.7,5,1000.0,0.0316227766,l1,l2,0.625
0.3 0.7,5,1.0,0.0316227766,l2,l2,0.625
0.3 0.7,5,31.6227766017,0.0316227766,l2,l2,0.625
