0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},0.8,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},0.8,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},0.8,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},0.8,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},0.8,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},0.8,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},0.75,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},0.75,0.7032967033
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 8, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.7272727273,0.6326530612
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 8, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.7272727273,0.6326530612
0.6 0.4,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 8, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.7272727273,0.6326530612
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 2},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 3},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 4},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 5},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 2},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 3},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 4},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 5},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 2},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 3},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 4},0.7142857143,0.6666666667
0.4 0.6,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 5},0.7142857143,0.6666666667
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},0.7058823529,0.7021276596
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},0.7058823529,0.7021276596
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},0.7058823529,0.7021276596
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},{'max_features': 3, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},0.7058823529,0.7021276596
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.6666666667,0.7234042553
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},0.6666666667,0.7234042553
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},0.6666666667,0.7234042553
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 2},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},0.6666666667,0.7234042553
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 3},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 3},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 3},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 3},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 4},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 3},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 4},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 8, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5},{'max_features': 18, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 5},0.6666666667,0.7391304348
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 2},0.6666666667,0.6597938144
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 3},0.6666666667,0.6597938144
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 4},0.6666666667,0.6597938144
0.5 0.5,4,{'max_features': 13, 'random_state': 42, 'max_depth': 4, 'min_samples_leaf': 2},{'max_features': 3, 'random_state': 42, 'max_depth': 3, 'min_samples_leaf': 5},0.6666666667,0.6597938144
