0.6 0.4,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3846153846,0.5230769231
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.380952381,0.5950413223
0.5 0.5,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.576
0.6 0.4,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.5691056911
0.4 0.6,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.5873015873
0.4 0.6,5,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.592
0.4 0.6,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.592
0.4 0.6,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.592
0.4 0.6,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.592
0.4 0.6,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3636363636,0.592
0.5 0.5,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3571428571,0.5147058824
0.5 0.5,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.3529411765,0.4245810056
0.4 0.6,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.3529411765,0.385786802
0.5 0.5,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.6 0.4,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.6 0.4,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.4 0.6,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.4 0.6,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.4 0.6,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3448275862,0.5034013605
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6274509804
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6274509804
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6153846154
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6336633663
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.4 0.6,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.4 0.6,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.4 0.6,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.6095238095
0.4 0.6,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3333333333,0.5538461538
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3157894737,0.6095238095
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.6181818182
0.6 0.4,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.623853211
0.6 0.4,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.623853211
0.6 0.4,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.623853211
0.6 0.4,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.3157894737,0.623853211
0.6 0.4,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.303030303,0.4470588235
0.5 0.5,4,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3,0.6078431373
0.5 0.5,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3,0.6
0.5 0.5,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6194690265
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6140350877
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3,0.6
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3,0.6
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3,0.6
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3,0.6
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.6 0.4,4,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3,0.6078431373
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3,0.593220339
0.6 0.4,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.6 0.4,5,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.001},0.3,0.5833333333
0.6 0.4,5,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6260869565
0.6 0.4,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3,0.6101694915
0.6 0.4,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.6 0.4,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.001},0.3,0.6101694915
0.6 0.4,5,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.6 0.4,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3,0.6101694915
0.6 0.4,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.6 0.4,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.001},0.3,0.6101694915
0.6 0.4,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6315789474
0.4 0.6,4,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.001},0.3,0.6138613861
0.4 0.6,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.3,0.6194690265
0.6 0.4,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.031622776601683791},0.2857142857,0.5593220339
0.5 0.5,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.001},0.2608695652,0.5396825397
0.6 0.4,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1.0},0.2608695652,0.5625
0.6 0.4,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.001},0.2608695652,0.544
0.4 0.6,5,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.001},0.2608695652,0.5555555556
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6530612245
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6666666667
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.25,0.66
0.5 0.5,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.25,0.66
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6464646465
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6734693878
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.25,0.66
0.5 0.5,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.25,0.66
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6391752577
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6666666667
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.25,0.66
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6391752577
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6666666667
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.25,0.66
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.25,0.6391752577
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.25,0.6666666667
