0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
