0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6071307572,5.7695451394
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6077954677,5.7715487635
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6078699528,5.7467025097
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6100802117,5.7751362685
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6107416868,5.777142364
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6108390237,5.7522596866
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.6192595906,5.7250100988
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.6206684047,5.723146067
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.622243257,5.7305287503
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6236539235,5.7286610784
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6344759309,5.8288716959
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6351232785,5.8308574359
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6352222917,5.8059389823
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6367400643,5.8028755377
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6378207961,5.806174384
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6382380315,5.7651467821
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6388999658,5.8069422636
