0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.5874048057,5.3914544534
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.5874048057,5.3914544534
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.5874048057,5.3914544534
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.5874048057,5.3914544534
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.5982556001,5.2333842973
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.5982556001,5.2333842973
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.5982556001,5.2333842973
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.5982556001,5.2333842973
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.6059237964,5.5764873078
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6059237964,5.5764873078
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6059237964,5.5764873078
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6059237964,5.5764873078
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.6416911737,5.069850577
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.6431285199,5.0546734461
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6469961705,5.4798312219
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6469961705,5.4798312219
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6469961705,5.4798312219
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6469961705,5.4798312219
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.6530186393,5.0957765679
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6536436445,5.3373783078
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6536436445,5.3373783078
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6536436445,5.3373783078
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6536436445,5.3373783078
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6565111631,5.6372535056
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6565111631,5.6372535056
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6565111631,5.6372535056
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6565111631,5.6372535056
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6917855484,5.8986960173
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6917855484,5.8986960173
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
