0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.6123040242,5.2945034021
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6123040242,5.2945034021
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6123040242,5.2945034021
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6123040242,5.2945034021
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.6162657802,5.4464512637
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6162657802,5.4464512637
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6162657802,5.4464512637
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6162657802,5.4464512637
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.6390249547,5.6158805492
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6390249547,5.6158805492
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6390249547,5.6158805492
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6390249547,5.6158805492
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6489990385,5.6223018297
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6489990385,5.6223018297
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6489990385,5.6223018297
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6489990385,5.6223018297
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6543171928,5.457434438
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6543171928,5.457434438
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6543171928,5.457434438
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6543171928,5.457434438
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.6620168044,5.0971195393
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6805813164,5.3106614512
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6805813164,5.3106614512
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6805813164,5.3106614512
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6805813164,5.3106614512
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.6826746856,5.0996413339
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6877775985,5.8989770946
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6877775985,5.8989770946
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
